종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
021040,대호피앤씨,"1,425","10","0.71","1,425","1,415","127,174","178,877,205","1,410","1,440","1,390","500",원(KRW),"50,112,826","71,410,777,050",
021045,대호피앤씨우,"2,480","95","3.98","2,480","2,445","1,057,051","2,625,482,775","2,415","2,645","2,360","500",원(KRW),"4,242,466","10,521,315,680",
067080,대화제약,"29,800","-2,400","7.45","29,800","29,750","255,981","7,856,968,350","31,900","32,300","29,800","500",원(KRW),"18,224,974","543,104,225,200",
192080,더블유게임즈,"36,100","-400","1.10","36,150","36,100","29,780","1,082,639,950","36,400","36,650","36,000","500",원(KRW),"17,184,556","620,362,471,600",
213420,덕산네오룩스,"30,750","100","0.33","30,750","30,550","40,693","1,242,030,150","30,400","30,800","30,000","200",원(KRW),"12,007,770","369,238,927,500",
077360,덕산하이메탈,"7,780","-90","1.14","7,780","7,770","23,802","185,798,490","7,800","7,950","7,760","200",원(KRW),"22,718,501","176,749,937,780",
090410,덕신하우징,"5,940","30","0.51","5,940","5,920","6,205","36,944,540","5,890","6,020","5,890","500",원(KRW),"8,012,000","47,591,280,000",
194480,데브시스터즈,"25,300","750","3.05","25,450","25,300","88,112","2,280,007,400","25,350","26,800","24,800","500",원(KRW),"11,079,095","280,301,103,500",
017680,데코앤이,"1,340","-75","5.30","1,345","1,340","854,424","1,164,584,545","1,415","1,415","1,340","500",원(KRW),"68,800,431","92,192,577,540",
206560,덱스터,"19,400","50","0.26","19,450","19,400","17,072","331,277,800","19,250","19,550","19,250","500",원(KRW),"10,878,644","211,045,693,600",
067990,도이치모터스,"4,195","105","2.57","4,195","4,190","105,741","445,643,065","4,140","4,275","4,110","500",원(KRW),"26,263,308","110,174,577,060",
100130,동국S&C,"8,750","130","1.51","8,760","8,750","783,285","6,798,782,480","8,630","8,820","8,440","500",원(KRW),"57,143,000","500,001,250,000",
005160,동국산업,"5,260","30","0.00","5,260","5,250","84,106","440,441,000","5,220","5,300","5,190","1,000",원(KRW),"50,000,000","263,000,000,000",
075970,동국알앤에스,"2,590","-85","3.18","2,600","2,590","680,601","1,837,201,485","2,655","2,845","2,590","1,000",원(KRW),"18,400,000","47,656,000,000",
086450,동국제약,"55,200","-1,200","2.13","55,200","54,900","23,559","1,294,020,900","56,400","56,400","54,000","2,500",원(KRW),"8,892,000","490,838,400,000",
099410,동방선기,"2,300","20","0.88","2,315","2,300","144,079","326,646,375","2,310","2,325","2,225","500",원(KRW),"10,963,002","25,214,904,600",
045890,동부라이텍,"2,020","-40","1.94","2,020","2,010","38,393","77,455,495","2,060","2,075","2,005","500",원(KRW),"25,967,737","52,454,828,740",
226440,동부스팩3호,"1,980","30","0.00","1,995","1,980","5,030","9,935,165","1,980","1,995","1,975","100",원(KRW),"4,450,000","8,811,000,000",
230490,동부제4호스팩,"1,980","30","0.00","1,980","1,975","14,489","28,542,580","1,975","1,980","1,965","100",원(KRW),"5,300,000","10,494,000,000",
033500,동성화인텍,"5,800","60","1.05","5,800","5,790","50,050","285,830,970","5,800","5,800","5,630","500",원(KRW),"26,983,609","156,504,932,200",
025950,동신건설,"5,150","-90","1.72","5,150","5,140","6,852","35,152,110","5,230","5,240","5,080","500",원(KRW),"8,400,000","43,260,000,000",
088130,동아엘텍,"21,800","-400","1.80","21,850","21,800","92,037","2,021,190,450","22,200","22,350","21,600","500",원(KRW),"11,150,296","243,076,452,800",
041930,동아화성,"4,910","-20","0.41","4,910","4,905","50,106","244,417,130","4,930","4,930","4,855","500",원(KRW),"15,800,000","77,578,000,000",
038500,동양시멘트,"3,575","-10","0.28","3,575","3,560","37,539","133,037,700","3,635","3,635","3,520","500",원(KRW),"107,357,173","383,801,893,475",
060380,동양에스텍,"3,780","165","4.56","3,790","3,780","139,012","510,765,265","3,585","3,850","3,560","500",원(KRW),"10,000,000","37,800,000,000",
079960,동양이엔피,"13,450","30","0.00","13,450","13,350","4,082","54,861,650","13,450","13,550","13,300","500",원(KRW),"7,860,000","105,717,000,000",
