종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
105560,KB금융,"41,950","-850","1.99","41,950","41,900","1,352,196","56,972,312,950","42,050","43,100","41,850","5,000",원(KRW),"386,351,693","16,207,453,521,350",
002550,KB손해보험,"28,700","-100","0.35","28,800","28,700","245,231","7,088,457,400","28,950","29,100","28,600","500",원(KRW),"60,000,000","1,722,000,000,000",
002380,KCC,"414,500","-2,500","0.60","414,500","414,000","21,316","8,911,023,500","417,000","421,000","412,500","5,000",원(KRW),"10,556,513","4,375,674,638,500",
009070,KCTC,"3,280","-105","3.10","3,310","3,280","32,578","107,646,415","3,350","3,400","3,275","500",원(KRW),"30,000,000","98,400,000,000",
009440,KC그린홀딩스,"8,660","140","1.64","8,660","8,650","277,661","2,394,139,580","8,520","8,680","8,500","500",원(KRW),"22,434,980","194,286,926,800",
119650,KC코트렐,"5,900","-220","3.59","5,910","5,900","145,323","862,273,730","6,180","6,180","5,830","500",원(KRW),"13,000,000","76,700,000,000",
092220,KEC,"1,000","-25","2.44","1,005","1,000","554,974","559,934,880","1,030","1,035","1,000","500",원(KRW),"89,047,384","89,047,384,000",
109070,KGP,"873","-17","1.91","874","873","1,615,091","1,416,813,068","886","918","859","500",원(KRW),"39,166,272","34,192,155,456",
001390,KG케미칼,"14,300","50","0.35","14,300","14,250","12,506","177,129,350","14,250","14,300","14,050","5,000",원(KRW),"11,478,870","164,147,841,000",
001940,KISCO홀딩스,"61,700","-1,100","1.75","62,600","61,700","1,154","71,787,800","62,700","63,000","61,700","5,000",원(KRW),"3,695,276","227,998,529,200",
083420,KPX그린케미칼,"4,215","25","0.60","4,215","4,210","15,320","64,703,290","4,165","4,255","4,165","500",원(KRW),"20,000,000","84,300,000,000",
025000,KPX케미칼,"64,200","-800","1.23","64,200","64,100","4,716","300,068,100","63,900","65,200","62,900","5,000",원(KRW),"4,840,000","310,728,000,000",
092230,KPX홀딩스,"64,400","-700","1.08","64,400","64,200","401","25,797,100","65,300","65,300","64,000","5,000",원(KRW),"4,224,646","272,067,202,400",
000040,KR모터스,"951","-22","2.26","955","951","457,105","440,149,658","973","979","951","500",원(KRW),"176,129,474","167,499,129,774",
044450,KSS해운,"8,200","-80","0.97","8,200","8,190","44,354","365,387,520","8,260","8,290","8,200","500",원(KRW),"23,185,880","190,124,216,000",
030200,KT,"32,250","30","0.00","32,300","32,250","245,631","7,920,925,150","32,250","32,400","32,000","5,000",원(KRW),"261,111,808","8,420,855,808,000",
033780,KT&G,"113,000","2,000","1.80","113,500","113,000","410,078","46,378,172,070","111,000","114,000","111,000","5,000",원(KRW),"137,292,497","15,514,052,161,000",
030210,KTB투자증권,"2,905","-55","1.86","2,915","2,905","248,339","724,108,125","2,970","2,970","2,900","5,000",원(KRW),"60,314,092","175,212,437,260",
058850,KTcs,"2,510","10","0.40","2,510","2,505","123,129","307,160,100","2,500","2,520","2,470","500",원(KRW),"42,685,000","107,139,350,000",
093050,LF,"21,550","-450","2.05","21,600","21,550","47,332","1,026,100,350","21,850","21,950","21,550","5,000",원(KRW),"29,240,000","630,122,000,000",
003550,LG,"61,200","-1,000","1.61","61,300","61,200","332,622","20,426,379,500","61,800","62,200","61,000","5,000",원(KRW),"172,557,131","10,560,496,417,200",
034220,LG디스플레이,"28,300","-1,300","4.39","28,350","28,300","2,191,977","62,370,350,050","29,450","29,700","27,950","5,000",원(KRW),"357,815,700","10,126,184,310,000",
001120,LG상사,"28,550","-800","2.73","28,600","28,550","438,429","12,458,625,650","29,300","29,300","27,900","5,000",원(KRW),"38,760,000","1,106,598,000,000",
068870,LG생명과학,"61,600","-900","1.44","61,700","61,600","40,363","2,486,598,700","61,800","62,200","61,200","5,000",원(KRW),"16,576,990","1,021,142,584,000",
068875,LG생명과학우,"41,700","-300","0.71","41,850","41,700","1,466","61,474,650","41,900","42,300","41,700","5,000",원(KRW),"236,216","9,850,207,200",
051900,LG생활건강,"858,000","30","0.00","859,000","858,000","85,212","73,182,343,570","860,000","868,000","853,000","5,000",원(KRW),"15,618,197","13,400,413,026,000",
051905,LG생활건강우,"477,000","7,000","1.49","477,000","475,000","4,992","2,354,764,000","470,000","478,000","469,000","5,000",원(KRW),"2,099,697","1,001,555,469,000",
003555,LG우,"39,100","-1,000","2.49","39,250","39,100","3,686","145,017,900","39,600","40,300","39,100","5,000",원(KRW),"3,314,677","129,603,870,700",
032640,LG유플러스,"11,800","-50","0.42","11,850","11,800","976,776","11,603,464,150","11,900","12,100","11,700","5,000",원(KRW),"436,611,361","5,152,014,059,800",
011070,LG이노텍,"78,000","400","0.52","78,100","78,000","144,072","11,117,201,900","77,600","78,100","76,200","5,000",원(KRW),"23,667,107","1,846,034,346,000",
066570,LG전자,"47,600","-1,550","3.15","47,600","47,550","1,475,394","70,759,420,550","48,850","48,900","47,550","5,000",원(KRW),"163,647,814","7,789,635,946,400",
066575,LG전자우,"24,050","-500","2.04","24,100","24,050","17,984","435,152,200","24,550","24,550","24,000","5,000",원(KRW),"17,185,992","413,323,107,600",
108670,LG하우시스,"99,500","-2,500","2.45","99,600","99,500","47,031","4,725,727,200","101,000","103,000","99,000","5,000",원(KRW),"8,967,670","892,283,165,000",
108675,LG하우시스우,"58,800","-1,100","1.84","59,200","58,800","461","27,295,200","59,600","59,900","58,800","5,000",원(KRW),"1,032,330","60,701,004,000",
051910,LG화학,"241,500","-4,000","1.63","242,000","241,500","194,357","47,075,485,790","243,000","245,000","240,000","5,000",원(KRW),"66,271,100","16,004,470,650,000",
051915,LG화학우,"177,500","-2,000","1.11","177,500","176,500","11,284","1,992,425,250","178,000","178,000","175,500","5,000",원(KRW),"7,628,921","1,354,133,477,500",
079550,LIG넥스원,"76,500","500","0.66","76,500","76,200","73,111","5,566,870,600","76,300","76,800","75,200","5,000",원(KRW),"22,000,000","1,683,000,000,000",
006260,LS,"53,900","-3,000","5.27","54,000","53,900","248,744","13,595,790,600","56,200","56,800","53,600","5,000",원(KRW),"32,200,000","1,735,580,000,000",
